CookerStat, GenerateAssetRegistry=0.027459, Initialize=0.141803, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId34BF6E3E438279F968EDB68E59AC2ABE_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_F6__942E4D7C615DB8438375B8E554FBA22ABC018F03, StartTime=2016.04.05-16.35.13, HierarchicalDDC=, DataSize=67061, Duration=14.487319, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionIdE35F68AB4572B2B9C7B550B58B0193A0_2, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_80__9A616DF4202889069D7A38DA08B61002131A708B, StartTime=2016.04.05-18.08.16, HierarchicalDDC=, DataSize=221309, Duration=6.359439, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId7923AD8C492EBA0A3B6088B058A8E60C_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A6C3020A414AB39695ACCFA6F2DD30B__216843303E0C629F10500A9D15EDE35ADA8AB7F7, StartTime=2016.04.05-18.08.16, HierarchicalDDC=, DataSize=61900, Duration=6.194271, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId34BF6E3E438279F968EDB68E59AC2ABE_5, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_80__1D60B100C1BDD0EEDC0E2D4CB78E3CDC29CB2A76, StartTime=2016.04.05-18.08.16, HierarchicalDDC=, DataSize=221309, Duration=5.045090, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
SavePackageTransactionIdD8FEC7824AF7BB3395427A8ABCB4B6AF_2, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/TempAssets/Scene.uasset, AutoPackageBackupDelegate=8.610260, FlushAsyncLoading=0.017624, FlushStreamingFunc=0.059836, BlockTillAllRequestsFinished=0.053689, ResetLoadersForSaveUnMarkAllObjects=4.821729, TagPackageExports=0.065576, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.927050, GatherLocalizableTextData=0.744265, MarkNames=0.017621, SerializeSummary=0.034429, SerializeNames=0.150818, SerializeGatherableTextData=0.002868, BuildExportMap=0.045493, SortExportsNonSeekfree=0.016801, SortExportsSeekfreeConstructor=0.310659, SortExportsSeekfreeInner=5.186893, SortExportsSeekfree=0.010654, BuildDependencyMap=0.019673, SerializeImportMap=0.011474, SerializeExportMap=0.006557, SerializeDependencyMap=0.002462, SerializeStringAssetReferenceMap=0.006557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.709856, SerializeExports=0.404101, SerializeBulkData=0.202049, MoveFile=9.029936, UnaccountedTime=5.169269, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId34BF6E3E438279F968EDB68E59AC2ABE_6, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_F7__0CC18409CE72468DE7B8CB220F93FA6A5F36CEB9, StartTime=2016.04.05-18.09.12, HierarchicalDDC=, DataSize=70341, Duration=5.098779, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionIdE35F68AB4572B2B9C7B550B58B0193A0_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5E4218DC45BDB7D7238804880E11D1F__BDD83F6E30C90F43C5B092FDB2D27FBE25B33A7F, StartTime=2016.04.05-18.09.12, HierarchicalDDC=, DataSize=20076, Duration=5.943451, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId7923AD8C492EBA0A3B6088B058A8E60C_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AD01F80A4B47120D60D55AAA7DAEEE1__175553B502B4CE811998246DD2387A3117730B37, StartTime=2016.04.05-18.09.12, HierarchicalDDC=, DataSize=20076, Duration=6.471731, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
SavePackageTransactionIdD8FEC7824AF7BB3395427A8ABCB4B6AF_3, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Building_LowerWall003.uasset, AutoPackageBackupDelegate=0.138935, FlushAsyncLoading=0.002868, FlushStreamingFunc=0.078689, BlockTillAllRequestsFinished=0.004917, ResetLoadersForSaveUnMarkAllObjects=0.137705, TagPackageExports=0.030737, BeginCacheForCookedPlatformData=0.001229, SerializeImports=0.463523, GatherLocalizableTextData=0.147134, MarkNames=0.005737, SerializeSummary=0.009015, SerializeNames=0.072133, SerializeGatherableTextData=0.001229, BuildExportMap=0.015981, SortExportsNonSeekfree=0.006970, SortExportsSeekfreeConstructor=0.007376, SortExportsSeekfreeInner=0.550412, SortExportsSeekfree=0.002459, BuildDependencyMap=0.007376, SerializeImportMap=0.006966, SerializeExportMap=0.004511, SerializeDependencyMap=0.002868, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.958623, SerializeExports=0.279918, SerializeBulkData=0.033606, MoveFile=6.111894, UnaccountedTime=1.429509, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId7923AD8C492EBA0A3B6088B058A8E60C_4, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_94__213CF62F9358704599F1E001FB6CD24DD8C5C27D, StartTime=2016.04.05-18.09.20, HierarchicalDDC=, DataSize=38785, Duration=7.583618, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId34BF6E3E438279F968EDB68E59AC2ABE_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EC6D03924E0A13AD3092CF8C8A748B9__DBEA61DA7E2932670EE0967E657DDEAF59F17F27, StartTime=2016.04.05-18.09.20, HierarchicalDDC=, DataSize=10784, Duration=6.218452, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionIdE35F68AB4572B2B9C7B550B58B0193A0_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1C3971F24EAE01EF6CEFB395DBE48E9__7DF2FA5988DCC416C01865396DB39F8748DAF642, StartTime=2016.04.05-18.09.20, HierarchicalDDC=, DataSize=10784, Duration=8.857801, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
SavePackageTransactionIdD8FEC7824AF7BB3395427A8ABCB4B6AF_4, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Building_Column001.uasset, AutoPackageBackupDelegate=0.118036, FlushAsyncLoading=0.004098, FlushStreamingFunc=0.055328, BlockTillAllRequestsFinished=0.004917, ResetLoadersForSaveUnMarkAllObjects=0.169262, TagPackageExports=0.056557, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.569675, GatherLocalizableTextData=0.202458, MarkNames=0.006557, SerializeSummary=0.013527, SerializeNames=0.059836, SerializeGatherableTextData=0.001639, BuildExportMap=0.019263, SortExportsNonSeekfree=0.007786, SortExportsSeekfreeConstructor=0.008196, SortExportsSeekfreeInner=0.672542, SortExportsSeekfree=0.003282, BuildDependencyMap=0.008605, SerializeImportMap=0.017624, SerializeExportMap=0.009425, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.561902, SerializeExports=0.678282, SerializeBulkData=0.071719, MoveFile=10.084033, UnaccountedTime=3.166400, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionIdE35F68AB4572B2B9C7B550B58B0193A0_5, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_A8__28E67BA9C96185C5022BC07568FE5220C7C6AF25, StartTime=2016.04.05-18.11.49, HierarchicalDDC=, DataSize=38785, Duration=7.148374, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId7923AD8C492EBA0A3B6088B058A8E60C_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E94B11834AEF424221AFB39494FACF7__E3878C1805A6014E0DE09DC520626D006BFF49E8, StartTime=2016.04.05-18.11.49, HierarchicalDDC=, DataSize=10784, Duration=6.264765, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
DDCTransactionId34BF6E3E438279F968EDB68E59AC2ABE_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_358B2584456E78C5CAD485A71BC3F50__B16E8BCBA7AB82E6EF0332CC952F2EB37A647919, StartTime=2016.04.05-18.11.49, HierarchicalDDC=, DataSize=10784, Duration=7.994685, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
SavePackageTransactionIdD8FEC7824AF7BB3395427A8ABCB4B6AF_5, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/Assets/Models/Building_Column001.uasset, AutoPackageBackupDelegate=5.658206, FlushAsyncLoading=0.012297, FlushStreamingFunc=0.080738, BlockTillAllRequestsFinished=0.006966, ResetLoadersForSaveUnMarkAllObjects=0.195492, TagPackageExports=0.027459, BeginCacheForCookedPlatformData=0.001229, SerializeImports=0.552870, GatherLocalizableTextData=0.250001, MarkNames=0.006147, SerializeSummary=0.010245, SerializeNames=0.068035, SerializeGatherableTextData=0.001639, BuildExportMap=0.018030, SortExportsNonSeekfree=0.008199, SortExportsSeekfreeConstructor=0.067212, SortExportsSeekfreeInner=0.625003, SortExportsSeekfree=0.002868, BuildDependencyMap=0.007786, SerializeImportMap=0.006147, SerializeExportMap=0.004511, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.330341, SerializeExports=0.219263, SerializeBulkData=0.026640, MoveFile=4.373778, UnaccountedTime=2.142623, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
MaterialTransactionIdD8152B594E184AC96BB72D913D3D5AF2_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_NoDBuf_EARLYZ3BA33F6504AA0231BA4D9D58F0A59DE61_Num_SM5__2___TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FEvaluateSurfelMaterialCS6258113C2EBBF117ED7778A8D1717F7C4F99C7B816742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222222222222222222222222220000440414000000140000001400000014000000_FConvertToUniformMeshVSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FConvertToUniformMeshGSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D342242000000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D34224200000000058000040404040404040404040434343444443434343404040404040404040404343434040404044040404040404040404040404343434444434343434040404040404040404043434340404016101010101000424244444444444444424141414341414141413131414141444341444044444444444444414141414141414141434143414141414141414141414131314444414241444444414101010004443414341414141444444434341434444444404444444444444444444444444444444444444444444444444444444444444444444444444404010101010101010101010101010101010101010101010101210443434343444144444444444444440101010101010101010101010101301434143424141414244414130331313141444444440000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D00000008000000CD9B8AFDEB63CC8B21C183BE4F1A824EB996D5110000000000000000000000000000000000000000, ShaderCompilation=3024.636475, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
MaterialTransactionIdD8152B594E184AC96BB72D913D3D5AF2_1, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_NoDBuf_EARLYZ3BA33F6504AA0231BA4D9D58F0A59DE61_Num_SM5__1___TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FEvaluateSurfelMaterialCS6258113C2EBBF117ED7778A8D1717F7C4F99C7B816742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222222222222222222222222220000440414000000140000001400000014000000_FConvertToUniformMeshVSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FConvertToUniformMeshGSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D342242000000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D34224200000000058000040404040404040404040434343444443434343404040404040404040404343434040404044040404040404040404040404343434444434343434040404040404040404043434340404016101010101000424244444444444444424141414341414141413131414141444341444044444444444444414141414141414141434143414141414141414141414131314444414241444444414101010004443414341414141444444434341434444444404444444444444444444444444444444444444444444444444444444444444444444444444404010101010101010101010101010101010101010101010101210443434343444144444444444444440101010101010101010101010101301434143424141414244414130331313141444444440000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D00000008000000CD9B8AFDEB63CC8B21C183BE4F1A824EB996D5110000000000000000000000000000000000000000, ShaderCompilation=3087.514160, RunGuid=RunID7E5ABCD24589DD19441423A46FD9BFED
