CookerStat, GenerateAssetRegistry=0.037704, Initialize=0.198361, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_D2__DCF540380442698E832A4B73EE0816A6D2A3F0E8, StartTime=2016.06.02-18.46.11, HierarchicalDDC=, DataSize=925961, Duration=8.567240, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
SavePackageTransactionId848B37994FEED1B788EDBDA58A936B20_0, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Saved/Autosaves/Game/Maps/RunawayMap_Auto1.umap, AutoPackageBackupDelegate=106.587646, FlushAsyncLoading=0.027459, FlushStreamingFunc=0.177462, BlockTillAllRequestsFinished=0.088934, ResetLoadersForSaveUnMarkAllObjects=1781.778442, TagPackageExports=27.485332, BeginCacheForCookedPlatformData=0.016395, SerializeImports=35.361591, GatherLocalizableTextData=178.287064, MarkNames=11.689794, SerializeSummary=0.088114, SerializeNames=2.839353, SerializeGatherableTextData=0.084016, BuildExportMap=2.973370, SortExportsNonSeekfree=16.774647, SortExportsSeekfreeConstructor=0.248361, SortExportsSeekfreeInner=99.902374, SortExportsSeekfree=0.025820, BuildDependencyMap=1.821317, SerializeImportMap=0.110246, SerializeExportMap=0.181150, SerializeDependencyMap=0.194676, SerializeStringAssetReferenceMap=0.011064, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.963975, SerializeExports=113.508156, SerializeBulkData=3190.124512, MoveFile=5.858626, UnaccountedTime=0.567216, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
SavePackageTransactionId848B37994FEED1B788EDBDA58A936B20_1, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Saved/Autosaves/Game/Maps/RunawayMap_Auto2.umap, AutoPackageBackupDelegate=57.597729, FlushAsyncLoading=0.018030, FlushStreamingFunc=0.097133, BlockTillAllRequestsFinished=0.010245, ResetLoadersForSaveUnMarkAllObjects=48.251389, TagPackageExports=9.694703, BeginCacheForCookedPlatformData=0.008196, SerializeImports=10.030772, GatherLocalizableTextData=54.132965, MarkNames=1.281559, SerializeSummary=0.036068, SerializeNames=1.303691, SerializeGatherableTextData=0.044264, BuildExportMap=1.406562, SortExportsNonSeekfree=5.630344, SortExportsSeekfreeConstructor=0.103690, SortExportsSeekfreeInner=34.552574, SortExportsSeekfree=0.010654, BuildDependencyMap=0.488527, SerializeImportMap=0.280328, SerializeExportMap=0.248361, SerializeDependencyMap=0.073768, SerializeStringAssetReferenceMap=0.005331, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.345501, SerializeExports=29.012390, SerializeBulkData=3260.219238, MoveFile=3.932390, UnaccountedTime=0.357788, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_4, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_15__7D359768596ED22D432DCD4C5CBC3005065ADC7F, StartTime=2016.06.02-19.51.30, HierarchicalDDC=, DataSize=617817, Duration=14.837347, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C3ADFEA04563D70866509F9F61D103F__E8B9FE21B25039940898773F4734CD2CD7D00582, StartTime=2016.06.02-19.51.30, HierarchicalDDC=, DataSize=174004, Duration=15.721776, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_5, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_15__52366E853AB522A5E02D78A01F035D349470448B, StartTime=2016.06.02-19.51.30, HierarchicalDDC=, DataSize=617817, Duration=7.784452, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_10A3C0A54F25F646BC56EBAB9E0A9CC__E003DC8AB489397F1946420C3996406DDB666253, StartTime=2016.06.02-19.51.30, HierarchicalDDC=, DataSize=174004, Duration=6.893873, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
SavePackageTransactionId848B37994FEED1B788EDBDA58A936B20_2, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Column_Floor001.uasset, AutoPackageBackupDelegate=9.898391, FlushAsyncLoading=0.066396, FlushStreamingFunc=0.202049, BlockTillAllRequestsFinished=0.135247, ResetLoadersForSaveUnMarkAllObjects=7.171333, TagPackageExports=0.086475, BeginCacheForCookedPlatformData=0.002868, SerializeImports=1.195908, GatherLocalizableTextData=0.917215, MarkNames=0.029508, SerializeSummary=0.046313, SerializeNames=0.375409, SerializeGatherableTextData=0.010248, BuildExportMap=0.066802, SortExportsNonSeekfree=0.023361, SortExportsSeekfreeConstructor=0.151232, SortExportsSeekfreeInner=3.156565, SortExportsSeekfree=0.007380, BuildDependencyMap=0.015981, SerializeImportMap=0.029098, SerializeExportMap=0.016805, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.002459, SaveThumbNailsAssetRegistryDataWorldLevelInfo=13.972998, SerializeExports=0.580739, SerializeBulkData=0.597131, MoveFile=5.828299, UnaccountedTime=1.947548, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_6, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_AA__C969B5CD30BF93E4D776A3EC0FC10E472AB4D711, StartTime=2016.06.02-19.51.48, HierarchicalDDC=, DataSize=253689, Duration=5.842235, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D9EB70864BBB7D12DA688BAD3B8AEC0__98027D20DDBD5EFDD2F18279081A0322E80C530B, StartTime=2016.06.02-19.51.48, HierarchicalDDC=, DataSize=71832, Duration=6.316416, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_6, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_AA__98B5803AE8256B1DEA1A8F25EA5C3255C02BB35E, StartTime=2016.06.02-19.51.48, HierarchicalDDC=, DataSize=253689, Duration=7.379941, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_12D7E1194E4BDE937F5CDBB2C806740__1579CF061B5D2CF0E1C0ADC374FB3D2546445960, StartTime=2016.06.02-19.51.48, HierarchicalDDC=, DataSize=71832, Duration=10.402903, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
SavePackageTransactionId848B37994FEED1B788EDBDA58A936B20_3, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Room001_Column.uasset, AutoPackageBackupDelegate=9.447161, FlushAsyncLoading=0.050001, FlushStreamingFunc=0.278689, BlockTillAllRequestsFinished=0.024181, ResetLoadersForSaveUnMarkAllObjects=1.371317, TagPackageExports=0.085246, BeginCacheForCookedPlatformData=0.002053, SerializeImports=0.893854, GatherLocalizableTextData=0.278689, MarkNames=0.009019, SerializeSummary=0.012703, SerializeNames=0.063933, SerializeGatherableTextData=0.001639, BuildExportMap=0.022952, SortExportsNonSeekfree=0.011068, SortExportsSeekfreeConstructor=0.008196, SortExportsSeekfreeInner=0.454508, SortExportsSeekfree=0.004102, BuildDependencyMap=0.011064, SerializeImportMap=0.012707, SerializeExportMap=0.006557, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=14.466442, SerializeExports=0.268854, SerializeBulkData=0.147130, MoveFile=5.124197, UnaccountedTime=2.095908, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_7, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_65__81002E3CB2474DE4C20964521E7F9D9013709FC9, StartTime=2016.06.02-19.52.04, HierarchicalDDC=, DataSize=29993, Duration=5.379524, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5395FD874132E737C54F6C82F6FAE1E__98A695DCB2CF9E2238A198188DAB1BB84CD9DC54, StartTime=2016.06.02-19.52.04, HierarchicalDDC=, DataSize=8024, Duration=7.941421, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_8, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_65__6FD37E144C7676D244A8FD6E95CBAED5AB7191DA, StartTime=2016.06.02-19.52.04, HierarchicalDDC=, DataSize=29993, Duration=5.596329, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_01A716FF441966333066B0B73A25CA2__C9953112422E88F3290FD3A5033ED674205BBA5C, StartTime=2016.06.02-19.52.04, HierarchicalDDC=, DataSize=8024, Duration=5.040180, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
SavePackageTransactionId848B37994FEED1B788EDBDA58A936B20_4, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Column_Edge002.uasset, AutoPackageBackupDelegate=6.141003, FlushAsyncLoading=0.032786, FlushStreamingFunc=0.181150, BlockTillAllRequestsFinished=0.018030, ResetLoadersForSaveUnMarkAllObjects=0.963118, TagPackageExports=0.062294, BeginCacheForCookedPlatformData=0.002459, SerializeImports=1.643449, GatherLocalizableTextData=0.611886, MarkNames=0.029098, SerializeSummary=0.027459, SerializeNames=0.127051, SerializeGatherableTextData=0.002868, BuildExportMap=0.047538, SortExportsNonSeekfree=0.020903, SortExportsSeekfreeConstructor=0.014756, SortExportsSeekfreeInner=0.795085, SortExportsSeekfree=0.005327, BuildDependencyMap=0.012703, SerializeImportMap=0.009838, SerializeExportMap=0.006557, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.176676, SerializeExports=0.255328, SerializeBulkData=0.029508, MoveFile=5.291000, UnaccountedTime=2.685666, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_9, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_AE__D165C4A03B18D8CD55DF931541F130DD243278BC, StartTime=2016.06.02-19.52.16, HierarchicalDDC=, DataSize=23797, Duration=7.263545, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A88AF3854D7300151108B2B3806C35B__194CA0A95FD491A499B753E46170C6910862AA66, StartTime=2016.06.02-19.52.16, HierarchicalDDC=, DataSize=6768, Duration=7.661909, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_8, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_AE__110E1CA5DF65D50E74332951B5C3F5CAA8B7CD68, StartTime=2016.06.02-19.52.16, HierarchicalDDC=, DataSize=23797, Duration=6.388135, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D8F4422D43060EDE019D4B9DFC61274__31EB8ED579E5815391BB8EDC27A99453663547C9, StartTime=2016.06.02-19.52.16, HierarchicalDDC=, DataSize=8202, Duration=5.958628, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
SavePackageTransactionId848B37994FEED1B788EDBDA58A936B20_5, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Column_Edge001.uasset, AutoPackageBackupDelegate=5.688954, FlushAsyncLoading=0.009425, FlushStreamingFunc=0.063933, BlockTillAllRequestsFinished=0.005741, ResetLoadersForSaveUnMarkAllObjects=0.518031, TagPackageExports=0.089344, BeginCacheForCookedPlatformData=0.003688, SerializeImports=0.940580, GatherLocalizableTextData=0.573773, MarkNames=0.017211, SerializeSummary=0.014346, SerializeNames=0.082377, SerializeGatherableTextData=0.001639, BuildExportMap=0.029508, SortExportsNonSeekfree=0.011884, SortExportsSeekfreeConstructor=0.009019, SortExportsSeekfreeInner=1.107790, SortExportsSeekfree=0.009835, BuildDependencyMap=0.015985, SerializeImportMap=0.008605, SerializeExportMap=0.006560, SerializeDependencyMap=0.002049, SerializeStringAssetReferenceMap=0.002868, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.132418, SerializeExports=0.322543, SerializeBulkData=0.027049, MoveFile=7.641416, UnaccountedTime=1.993861, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_9, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_79__2A5F87333AFE8CEC8AF11B1BDBBDE69C0C631166, StartTime=2016.06.02-19.52.31, HierarchicalDDC=, DataSize=81765, Duration=5.214360, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E3ABF8ED4798B74D706DE7B02F2A560__CE26CEE5D8200350F2B8682DB260EE0758ACB910, StartTime=2016.06.02-19.52.31, HierarchicalDDC=, DataSize=22768, Duration=6.242640, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_11, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_79__9C5AF8F28E1A81D84C1BAF83A5ED97B02820A402, StartTime=2016.06.02-19.52.31, HierarchicalDDC=, DataSize=81765, Duration=8.228716, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2EB0EB7540962711C57C798B246D14D__A1CE850E0D138E79D6B78B6EDCB3FEBDDA916AC8, StartTime=2016.06.02-19.52.31, HierarchicalDDC=, DataSize=22768, Duration=6.319694, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
SavePackageTransactionId848B37994FEED1B788EDBDA58A936B20_6, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Column_Edge003.uasset, AutoPackageBackupDelegate=6.286085, FlushAsyncLoading=0.015162, FlushStreamingFunc=0.080738, BlockTillAllRequestsFinished=0.007380, ResetLoadersForSaveUnMarkAllObjects=0.424590, TagPackageExports=0.080328, BeginCacheForCookedPlatformData=0.002868, SerializeImports=0.960249, GatherLocalizableTextData=0.392623, MarkNames=0.010248, SerializeSummary=0.013113, SerializeNames=0.068445, SerializeGatherableTextData=0.001229, BuildExportMap=0.031967, SortExportsNonSeekfree=0.014752, SortExportsSeekfreeConstructor=0.012707, SortExportsSeekfreeInner=0.752870, SortExportsSeekfree=0.004508, BuildDependencyMap=0.011478, SerializeImportMap=0.010658, SerializeExportMap=0.006557, SerializeDependencyMap=0.002049, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.165204, SerializeExports=0.290167, SerializeBulkData=0.047538, MoveFile=5.796332, UnaccountedTime=3.011894, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_11, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_A5__EFC30692E1B0E7106B493F58D4F2202E03490CBF, StartTime=2016.06.02-19.52.55, HierarchicalDDC=, DataSize=8081, Duration=10.507408, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_622807344E25899DE255E5AF1AF2CA6__2412DCADBEA0AFE361986A07C0B6BE0FCB2E47F4, StartTime=2016.06.02-19.52.55, HierarchicalDDC=, DataSize=2705, Duration=8.945930, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2155F7984AC28F3CBD5F54B0D6DDD67__4E83093B243B64F69EF1DD38346C85AC26003009, StartTime=2016.06.02-19.52.55, HierarchicalDDC=, DataSize=2705, Duration=8.406993, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
SavePackageTransactionId848B37994FEED1B788EDBDA58A936B20_7, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Floor_Begin01.uasset, AutoPackageBackupDelegate=10.104951, FlushAsyncLoading=0.015981, FlushStreamingFunc=0.078280, BlockTillAllRequestsFinished=0.008605, ResetLoadersForSaveUnMarkAllObjects=0.702873, TagPackageExports=0.080738, BeginCacheForCookedPlatformData=0.003278, SerializeImports=0.921316, GatherLocalizableTextData=0.474591, MarkNames=0.022952, SerializeSummary=0.023361, SerializeNames=0.114754, SerializeGatherableTextData=0.002868, BuildExportMap=0.049591, SortExportsNonSeekfree=0.019670, SortExportsSeekfreeConstructor=0.016805, SortExportsSeekfreeInner=1.212299, SortExportsSeekfree=0.009015, BuildDependencyMap=0.018854, SerializeImportMap=0.012707, SerializeExportMap=0.008605, SerializeDependencyMap=0.003688, SerializeStringAssetReferenceMap=0.003688, SaveThumbNailsAssetRegistryDataWorldLevelInfo=14.434472, SerializeExports=0.452053, SerializeBulkData=0.032376, MoveFile=7.361907, UnaccountedTime=4.506163, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId929E05224E5044D481CAE1BC1A27B275_12, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_16__8F978C6702E497503B72316F75BAF3D5EDE6C8F5, StartTime=2016.06.02-19.53.48, HierarchicalDDC=, DataSize=1277, Duration=7.224612, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId71367DB4491E464605251CB0222EE80F_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_449C7EAC48878D5ED8E710BC70B3083__7F72806E25B6A619094B5F90CF2FC31DD3FF84AE, StartTime=2016.06.02-19.53.48, HierarchicalDDC=, DataSize=798, Duration=6.818466, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
DDCTransactionId0C2D48A04AE21BAECF304C9EA2B6E32B_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2CAC69DE4FA102FB8E093DB979716BB__86DFD96231E616D4BDA26F86A0134174A99FB22E, StartTime=2016.06.02-19.53.48, HierarchicalDDC=, DataSize=798, Duration=7.630762, RunGuid=RunID2F53122C4D28D15E0E1F7C9AC46E8E93
