CookerStat, GenerateAssetRegistry=0.026640, Initialize=0.142623, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionIdFAA143B94FC6335EB82FE7B456ACBE9C_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_3350F43D4273E04DA__624668415133CE737E5274A3A1624DD2D92EC2DC, StartTime=2016.06.14-22.47.38, HierarchicalDDC=, DataSize=597, Duration=4.537716, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId42B58F0D4C3D9DE8978892B510F13D2D_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F622B5434FB52F6120B77880E8F1042__11E26E2B959E5A8700738B2F767578B9C4615337, StartTime=2016.06.14-23.12.21, HierarchicalDDC=, DataSize=59902, Duration=6.725013, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionIdFAA143B94FC6335EB82FE7B456ACBE9C_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3DA081514F4FE2495BCAE1BF35F9570__27C879D8E5304633DAD80458D7A18218139D2CE6, StartTime=2016.06.14-23.12.21, HierarchicalDDC=, DataSize=62118, Duration=5.871732, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId9E775DBE4C4488DF8DF5B7B1F64854E6_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_195601D242E8A477D11C1AA674A3DF6__4ED0FA9C6FA3748D34C0AFB0A0C416FD1535FEFD, StartTime=2016.06.14-23.12.21, HierarchicalDDC=, DataSize=62118, Duration=6.677881, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
SavePackageTransactionId5D0CB05743CC4C5D70FA15B61D470405_1, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Building_Column001.uasset, AutoPackageBackupDelegate=1.225412, FlushAsyncLoading=0.003282, FlushStreamingFunc=0.069670, BlockTillAllRequestsFinished=0.006147, ResetLoadersForSaveUnMarkAllObjects=0.160657, TagPackageExports=0.034016, BeginCacheForCookedPlatformData=0.001229, SerializeImports=0.540163, GatherLocalizableTextData=0.549182, MarkNames=0.009019, SerializeSummary=0.014342, SerializeNames=0.082377, SerializeGatherableTextData=0.001229, BuildExportMap=0.023361, SortExportsNonSeekfree=0.010245, SortExportsSeekfreeConstructor=0.008609, SortExportsSeekfreeInner=0.694674, SortExportsSeekfree=0.002868, BuildDependencyMap=0.021309, SerializeImportMap=0.008609, SerializeExportMap=0.004917, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.374198, SerializeExports=0.313528, SerializeBulkData=0.100408, MoveFile=6.828293, UnaccountedTime=1.650412, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionIdFAA143B94FC6335EB82FE7B456ACBE9C_4, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_64__87C6A837D772E997D694EE6B8F412747B41D0609, StartTime=2016.06.14-23.18.01, HierarchicalDDC=, DataSize=213229, Duration=5.885668, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId9E775DBE4C4488DF8DF5B7B1F64854E6_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D7DC684545660C1AAF821B95CF508B9__691D6E0918C49D4EBE393AA8C3F4109039B1FBF1, StartTime=2016.06.14-23.18.01, HierarchicalDDC=, DataSize=62368, Duration=5.680748, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId42B58F0D4C3D9DE8978892B510F13D2D_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6C0EFB7E45B29FEB9C6EC3B20C6299B__3654826CA80D698269729BA10BE93C18963F6A48, StartTime=2016.06.14-23.18.01, HierarchicalDDC=, DataSize=64622, Duration=5.029518, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionIdFAA143B94FC6335EB82FE7B456ACBE9C_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B5AC19444A1A51BFE0653E8F6257D24__2957C3870070FFC8EF8A5F531B03EA52743F17C6, StartTime=2016.06.14-23.18.01, HierarchicalDDC=, DataSize=64622, Duration=6.917637, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
SavePackageTransactionId5D0CB05743CC4C5D70FA15B61D470405_2, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Building_Column001.uasset, AutoPackageBackupDelegate=5.963538, FlushAsyncLoading=0.012293, FlushStreamingFunc=0.188526, BlockTillAllRequestsFinished=0.007786, ResetLoadersForSaveUnMarkAllObjects=0.210658, TagPackageExports=0.040572, BeginCacheForCookedPlatformData=0.002049, SerializeImports=0.599183, GatherLocalizableTextData=0.717215, MarkNames=0.007786, SerializeSummary=0.012703, SerializeNames=0.070084, SerializeGatherableTextData=0.001229, BuildExportMap=0.022952, SortExportsNonSeekfree=0.010654, SortExportsSeekfreeConstructor=0.008196, SortExportsSeekfreeInner=0.667214, SortExportsSeekfree=0.003282, BuildDependencyMap=0.013113, SerializeImportMap=0.009015, SerializeExportMap=0.005327, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.002459, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.381167, SerializeExports=0.305738, SerializeBulkData=0.104509, MoveFile=4.985258, UnaccountedTime=1.642626, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId42B58F0D4C3D9DE8978892B510F13D2D_6, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_C6__7640D7D4FF9777EB7D6EBAA8A8516EB06DF45289, StartTime=2016.06.14-23.19.06, HierarchicalDDC=, DataSize=213229, Duration=6.744687, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionIdFAA143B94FC6335EB82FE7B456ACBE9C_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D3923A6C478B09343772019CD475F36__E3F37CE416442D8E5597609DAD5AC04BEE80DABA, StartTime=2016.06.14-23.19.06, HierarchicalDDC=, DataSize=62256, Duration=5.434439, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId9E775DBE4C4488DF8DF5B7B1F64854E6_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F3152C31418F3439BEA9228915E7E57__24DA0039C8F06F48460A219F082DABFCCACB5102, StartTime=2016.06.14-23.19.06, HierarchicalDDC=, DataSize=64510, Duration=6.102882, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId42B58F0D4C3D9DE8978892B510F13D2D_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6C81C6394C1B1924405210B9C59AF52__5D14BCF0CA5C318669AB66D96CCFACD574E76825, StartTime=2016.06.14-23.19.06, HierarchicalDDC=, DataSize=64510, Duration=5.637307, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
SavePackageTransactionId5D0CB05743CC4C5D70FA15B61D470405_3, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Building_Column001.uasset, AutoPackageBackupDelegate=1.201231, FlushAsyncLoading=0.003278, FlushStreamingFunc=0.088118, BlockTillAllRequestsFinished=0.004917, ResetLoadersForSaveUnMarkAllObjects=0.158604, TagPackageExports=0.046723, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.602458, GatherLocalizableTextData=0.818036, MarkNames=0.009425, SerializeSummary=0.012707, SerializeNames=0.073358, SerializeGatherableTextData=0.001229, BuildExportMap=0.040986, SortExportsNonSeekfree=0.027869, SortExportsSeekfreeConstructor=0.008605, SortExportsSeekfreeInner=0.666805, SortExportsSeekfree=0.003278, BuildDependencyMap=0.009429, SerializeImportMap=0.012707, SerializeExportMap=0.005737, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.918872, SerializeExports=0.353280, SerializeBulkData=0.170082, MoveFile=5.567633, UnaccountedTime=1.626644, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId42B58F0D4C3D9DE8978892B510F13D2D_8, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_9E__3FD002CCBB09495660B92C29E7B5310BC3B22D86, StartTime=2016.06.14-23.26.17, HierarchicalDDC=, DataSize=304761, Duration=8.450836, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionIdFAA143B94FC6335EB82FE7B456ACBE9C_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AFC2ED014E31F6CF9D9561B6BB23867__8C100C9159CA7BBB105DE45CC7AFB327990F3617, StartTime=2016.06.14-23.26.17, HierarchicalDDC=, DataSize=87454, Duration=10.234859, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId9E775DBE4C4488DF8DF5B7B1F64854E6_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_659338FC474082AE18B40DA5992448F__07AA3C45F404084BF4BE87DF8E8288B3A1401682, StartTime=2016.06.14-23.26.17, HierarchicalDDC=, DataSize=90072, Duration=8.190591, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId42B58F0D4C3D9DE8978892B510F13D2D_9, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_9E__CFF09095F53B69B9050E2314FF7813FEA36F8A53, StartTime=2016.06.14-23.26.18, HierarchicalDDC=, DataSize=304761, Duration=7.302884, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionIdFAA143B94FC6335EB82FE7B456ACBE9C_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AC1D6D304363FC297A5937A047ACF2B__16132BD9892C79933A8EACFD6A6F1348463B9CF1, StartTime=2016.06.14-23.26.18, HierarchicalDDC=, DataSize=90072, Duration=8.231982, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
SavePackageTransactionId5D0CB05743CC4C5D70FA15B61D470405_4, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Door_Gate001.uasset, AutoPackageBackupDelegate=8.243870, FlushAsyncLoading=0.033196, FlushStreamingFunc=0.246722, BlockTillAllRequestsFinished=0.011068, ResetLoadersForSaveUnMarkAllObjects=1.112297, TagPackageExports=0.061475, BeginCacheForCookedPlatformData=0.002459, SerializeImports=1.179103, GatherLocalizableTextData=0.651639, MarkNames=0.016805, SerializeSummary=0.020903, SerializeNames=0.099588, SerializeGatherableTextData=0.002868, BuildExportMap=0.031561, SortExportsNonSeekfree=0.011474, SortExportsSeekfreeConstructor=0.010654, SortExportsSeekfreeInner=0.886068, SortExportsSeekfree=0.006557, BuildDependencyMap=0.015166, SerializeImportMap=0.011068, SerializeExportMap=0.006147, SerializeDependencyMap=0.001643, SerializeStringAssetReferenceMap=0.002459, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.215593, SerializeExports=0.322133, SerializeBulkData=0.229917, MoveFile=5.907390, UnaccountedTime=2.321314, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId42B58F0D4C3D9DE8978892B510F13D2D_10, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_6D6C9EB8412AA75CE__1061377256B121E41607843A3C4CCFDF848E3BAF, StartTime=2016.06.14-23.29.50, HierarchicalDDC=, DataSize=401, Duration=6.801654, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId9E775DBE4C4488DF8DF5B7B1F64854E6_7, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_DF__24AB9C4F4E0B701B582B5ADC01FD393A966B162F, StartTime=2016.06.14-23.36.01, HierarchicalDDC=, DataSize=243553, Duration=7.077884, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionIdFAA143B94FC6335EB82FE7B456ACBE9C_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_92E8F1B1410D59F80F00E18D3E58EBE__F6B5928E07509E1710CD87940527CE926EFD1BFB, StartTime=2016.06.14-23.36.01, HierarchicalDDC=, DataSize=69602, Duration=6.402470, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
DDCTransactionId42B58F0D4C3D9DE8978892B510F13D2D_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9DB647274966BED08012C485FC556F8__9BE5AA403DD8E686A84D26831F6060F90453045F, StartTime=2016.06.14-23.36.01, HierarchicalDDC=, DataSize=71980, Duration=6.258622, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
SavePackageTransactionId5D0CB05743CC4C5D70FA15B61D470405_5, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Building_Upper006.uasset, AutoPackageBackupDelegate=0.246722, FlushAsyncLoading=0.006147, FlushStreamingFunc=0.081148, BlockTillAllRequestsFinished=0.006966, ResetLoadersForSaveUnMarkAllObjects=0.272542, TagPackageExports=0.046313, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.838116, GatherLocalizableTextData=0.318851, MarkNames=0.007380, SerializeSummary=0.017621, SerializeNames=0.128280, SerializeGatherableTextData=0.002049, BuildExportMap=0.017215, SortExportsNonSeekfree=0.006557, SortExportsSeekfreeConstructor=0.064753, SortExportsSeekfreeInner=0.651643, SortExportsSeekfree=0.003278, BuildDependencyMap=0.009015, SerializeImportMap=0.009429, SerializeExportMap=0.004917, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.885678, SerializeExports=0.260659, SerializeBulkData=0.122949, MoveFile=13.875436, UnaccountedTime=1.934022, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
SavePackageTransactionId5D0CB05743CC4C5D70FA15B61D470405_6, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Maps/RunawayMap.umap, AutoPackageBackupDelegate=86.269852, FlushAsyncLoading=0.044260, FlushStreamingFunc=0.159018, BlockTillAllRequestsFinished=0.024591, ResetLoadersForSaveUnMarkAllObjects=55.947659, TagPackageExports=8.403297, BeginCacheForCookedPlatformData=0.006557, SerializeImports=11.258628, GatherLocalizableTextData=61.014061, MarkNames=0.463936, SerializeSummary=0.025000, SerializeNames=0.967622, SerializeGatherableTextData=0.031970, BuildExportMap=0.967212, SortExportsNonSeekfree=5.536079, SortExportsSeekfreeConstructor=0.074178, SortExportsSeekfreeInner=29.959488, SortExportsSeekfree=0.011068, BuildDependencyMap=0.662703, SerializeImportMap=0.112705, SerializeExportMap=0.197541, SerializeDependencyMap=0.053689, SerializeStringAssetReferenceMap=0.003278, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.448779, SerializeExports=29.672190, SerializeBulkData=3698.843750, MoveFile=78.032951, UnaccountedTime=4.597958, RunGuid=RunID141096C149EF05461F0DB6A61285B5C8
