CookerStat, GenerateAssetRegistry=0.023771, Initialize=0.127051, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_74__C918ABE122CB638A8BA4310A9D3A80838CCEC446, StartTime=2016.06.13-16.48.31, HierarchicalDDC=, DataSize=8681, Duration=5.195502, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7D8654424B3A751395618DA20989FEE__AD26BF4ED0034F0638B99B70D6B5E06A5D6F9632, StartTime=2016.06.13-16.50.51, HierarchicalDDC=, DataSize=3470, Duration=6.112717, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_59495864415367744F41E4B57D077F2__1CE685D9BA04282B2E0757E870DE5498B72625CE, StartTime=2016.06.13-16.50.51, HierarchicalDDC=, DataSize=3470, Duration=6.157387, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
SavePackageTransactionId4E2E87F9430E838CDFAC1E88A2D49925_2, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Wall_Area2.uasset, AutoPackageBackupDelegate=1.111887, FlushAsyncLoading=0.003688, FlushStreamingFunc=0.052050, BlockTillAllRequestsFinished=0.004508, ResetLoadersForSaveUnMarkAllObjects=0.145901, TagPackageExports=0.027869, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.553280, GatherLocalizableTextData=0.359837, MarkNames=0.005737, SerializeSummary=0.012297, SerializeNames=0.063933, SerializeGatherableTextData=0.001229, BuildExportMap=0.016805, SortExportsNonSeekfree=0.007376, SortExportsSeekfreeConstructor=0.007786, SortExportsSeekfreeInner=0.652872, SortExportsSeekfree=0.002459, BuildDependencyMap=0.006557, SerializeImportMap=0.006557, SerializeExportMap=0.005331, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.001643, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.995097, SerializeExports=0.305329, SerializeBulkData=0.018854, MoveFile=4.718449, UnaccountedTime=1.796316, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_3, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_08__123CE219BF41BB7576D83F7545A81C0DB6811348, StartTime=2016.06.13-16.51.10, HierarchicalDDC=, DataSize=8793, Duration=4.953288, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F18CE6614C7A46CDC14A388F99D3DEB__8FC3097D1A03BA3682DA84CA203C73432C3D58AF, StartTime=2016.06.13-16.51.10, HierarchicalDDC=, DataSize=2456, Duration=4.965581, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9CF974CE463813255FC50E923CBBC1F__9050CF0EA95B1DA27F0BEDD695F8A5774488F3CD, StartTime=2016.06.13-16.51.10, HierarchicalDDC=, DataSize=3470, Duration=6.779932, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_30483EAF4B05E0CC1D42B9809316BF8__28EF0906D33B261D83E96C84DEDF456969185FE6, StartTime=2016.06.13-16.51.10, HierarchicalDDC=, DataSize=3470, Duration=5.838945, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
SavePackageTransactionId4E2E87F9430E838CDFAC1E88A2D49925_3, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Wall_Area2.uasset, AutoPackageBackupDelegate=0.884838, FlushAsyncLoading=0.003278, FlushStreamingFunc=0.155330, BlockTillAllRequestsFinished=0.005737, ResetLoadersForSaveUnMarkAllObjects=0.207789, TagPackageExports=0.028688, BeginCacheForCookedPlatformData=0.000820, SerializeImports=0.510659, GatherLocalizableTextData=0.477869, MarkNames=0.006147, SerializeSummary=0.009835, SerializeNames=0.059839, SerializeGatherableTextData=0.000820, BuildExportMap=0.015981, SortExportsNonSeekfree=0.006557, SortExportsSeekfreeConstructor=0.007380, SortExportsSeekfreeInner=0.606559, SortExportsSeekfree=0.014752, BuildDependencyMap=0.007786, SerializeImportMap=0.006560, SerializeExportMap=0.004917, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.972149, SerializeExports=0.306148, SerializeBulkData=0.018030, MoveFile=4.671730, UnaccountedTime=1.553692, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_8, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_60__5FD0AD0EA1876DE4E1F98A56BD49B0F1D14738BF, StartTime=2016.06.13-16.51.27, HierarchicalDDC=, DataSize=8793, Duration=5.104929, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_53EE9F3749AA98654059A7B691157F0__0F6EFAB9A4C46C17FEC4AEF3140DA4C826304F72, StartTime=2016.06.13-16.51.27, HierarchicalDDC=, DataSize=2456, Duration=5.939767, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6A8557E64FA984F437CAA69F3742008__871F6A6F85343FD6C8E90D28CA537AF659E5837A, StartTime=2016.06.13-16.51.27, HierarchicalDDC=, DataSize=3470, Duration=6.336898, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_795634CB48D4B202E0C56D962B2B2FA__A748667CAB978A2D15FAB1A6E779353B89DA75D3, StartTime=2016.06.13-16.51.27, HierarchicalDDC=, DataSize=3470, Duration=5.925834, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
SavePackageTransactionId4E2E87F9430E838CDFAC1E88A2D49925_4, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Wall_Area2.uasset, AutoPackageBackupDelegate=0.869267, FlushAsyncLoading=0.003688, FlushStreamingFunc=0.070900, BlockTillAllRequestsFinished=0.005327, ResetLoadersForSaveUnMarkAllObjects=0.144266, TagPackageExports=0.026640, BeginCacheForCookedPlatformData=0.001229, SerializeImports=0.528690, GatherLocalizableTextData=0.561476, MarkNames=0.006970, SerializeSummary=0.010654, SerializeNames=0.060245, SerializeGatherableTextData=0.001229, BuildExportMap=0.016805, SortExportsNonSeekfree=0.006557, SortExportsSeekfreeConstructor=0.007786, SortExportsSeekfreeInner=0.602461, SortExportsSeekfree=0.002868, BuildDependencyMap=0.007376, SerializeImportMap=0.006560, SerializeExportMap=0.004917, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.001639, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.936495, SerializeExports=0.280738, SerializeBulkData=0.017621, MoveFile=4.677467, UnaccountedTime=1.562707, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_6, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_B1__65160DD299ADBE98CABF200B8B98FBA8BAC69427, StartTime=2016.06.13-16.52.03, HierarchicalDDC=, DataSize=8793, Duration=5.192634, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6CEF115A4BD5922D3F97D6A94E47C48__5357AB2C5598202F224AE352D2EF226B91CD0450, StartTime=2016.06.13-16.52.03, HierarchicalDDC=, DataSize=2456, Duration=4.967224, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B5BF0724453A4E55E1C7AA8AEC66CB8__E09D272B91CAF4ECDF6A9FB23BB6A290AEEC724A, StartTime=2016.06.13-16.52.03, HierarchicalDDC=, DataSize=3470, Duration=6.332390, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5F2F55A243B7937872C6ED937F1132B__CD1199F0F4A9790D437593A140FC2E6311FA7B30, StartTime=2016.06.13-16.52.03, HierarchicalDDC=, DataSize=3470, Duration=5.420506, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
SavePackageTransactionId4E2E87F9430E838CDFAC1E88A2D49925_5, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/Wall_Area2.uasset, AutoPackageBackupDelegate=1.050822, FlushAsyncLoading=0.006147, FlushStreamingFunc=0.096310, BlockTillAllRequestsFinished=0.010658, ResetLoadersForSaveUnMarkAllObjects=0.205327, TagPackageExports=0.047952, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.573363, GatherLocalizableTextData=0.689756, MarkNames=0.008605, SerializeSummary=0.011884, SerializeNames=0.099592, SerializeGatherableTextData=0.003688, BuildExportMap=0.031967, SortExportsNonSeekfree=0.010248, SortExportsSeekfreeConstructor=0.008605, SortExportsSeekfreeInner=0.958197, SortExportsSeekfree=0.005331, BuildDependencyMap=0.028279, SerializeImportMap=0.010245, SerializeExportMap=0.007380, SerializeDependencyMap=0.001639, SerializeStringAssetReferenceMap=0.002459, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.146745, SerializeExports=0.381559, SerializeBulkData=0.029918, MoveFile=4.738942, UnaccountedTime=1.412708, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_8, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_E5__B51841D65EC8768EEB572287775800360232318A, StartTime=2016.06.13-16.54.12, HierarchicalDDC=, DataSize=69777, Duration=7.156983, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_008ADE05489CE1646F3C78A71095825__034D51E30304A082C82256785A956D30B15E65A6, StartTime=2016.06.13-16.54.12, HierarchicalDDC=, DataSize=21043, Duration=6.231163, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5E0F0A6F4FBED2AF25944AB5ED97EDA__288C2920D03E3C104EBB29732E98B7FB4829DBFB, StartTime=2016.06.13-16.54.12, HierarchicalDDC=, DataSize=22788, Duration=5.037304, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_9, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_E5__3FBAA646BB322F1FFDE1AEEB2815D294814B6E24, StartTime=2016.06.13-16.54.15, HierarchicalDDC=, DataSize=67285, Duration=7.247146, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BE59D1D3432DDA29913DA8ADD204458__A4B04D2281BE47D722ED0E2A80DCD82C9107E8EA, StartTime=2016.06.13-16.54.15, HierarchicalDDC=, DataSize=21043, Duration=4.881974, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
SavePackageTransactionId4E2E87F9430E838CDFAC1E88A2D49925_6, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/FloorEdgeC_003.uasset, AutoPackageBackupDelegate=5.328700, FlushAsyncLoading=0.011064, FlushStreamingFunc=0.131968, BlockTillAllRequestsFinished=0.006147, ResetLoadersForSaveUnMarkAllObjects=0.511069, TagPackageExports=0.030737, BeginCacheForCookedPlatformData=0.001229, SerializeImports=0.631556, GatherLocalizableTextData=0.515986, MarkNames=0.013113, SerializeSummary=0.016395, SerializeNames=0.113524, SerializeGatherableTextData=0.002459, BuildExportMap=0.034839, SortExportsNonSeekfree=0.013933, SortExportsSeekfreeConstructor=0.008605, SortExportsSeekfreeInner=0.963118, SortExportsSeekfree=0.003278, BuildDependencyMap=0.009425, SerializeImportMap=0.008609, SerializeExportMap=0.005737, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.002459, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.912312, SerializeExports=0.373770, SerializeBulkData=0.063114, MoveFile=4.951648, UnaccountedTime=1.577463, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_10, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_98__1D113D0F4B307827E877B600E419EC069939628D, StartTime=2016.06.13-16.55.34, HierarchicalDDC=, DataSize=70037, Duration=6.471735, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DC67148C42DEAD49834C548FC20D21C__40AA163752B7262598C8A9B620CDC64766986133, StartTime=2016.06.13-16.55.34, HierarchicalDDC=, DataSize=20741, Duration=4.869681, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A59797E4415E0B11454C05876A1F445__A3BA8B4C106B5199BAD9FC609DE172AD9BA1A94A, StartTime=2016.06.13-16.55.34, HierarchicalDDC=, DataSize=22486, Duration=5.290996, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_11, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_98__3F06B90FEF2B9936F12212B5FE631654AC7ED1B6, StartTime=2016.06.13-16.55.35, HierarchicalDDC=, DataSize=67529, Duration=5.809028, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FF7004C342678889204E6BA8F0029A5__3FC209C47CEC1467EA6CF8B76B3CBCD89CAD0E4D, StartTime=2016.06.13-16.55.35, HierarchicalDDC=, DataSize=20741, Duration=5.216401, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
SavePackageTransactionId4E2E87F9430E838CDFAC1E88A2D49925_7, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/RunawayGame/Runaway-Game/Content/Assets/Models/FloorEdgeC_003.uasset, AutoPackageBackupDelegate=0.805739, FlushAsyncLoading=0.003278, FlushStreamingFunc=0.089344, BlockTillAllRequestsFinished=0.004921, ResetLoadersForSaveUnMarkAllObjects=0.180326, TagPackageExports=0.031151, BeginCacheForCookedPlatformData=0.001229, SerializeImports=0.473361, GatherLocalizableTextData=0.400409, MarkNames=0.006966, SerializeSummary=0.011068, SerializeNames=0.070490, SerializeGatherableTextData=0.001229, BuildExportMap=0.021312, SortExportsNonSeekfree=0.009425, SortExportsSeekfreeConstructor=0.008609, SortExportsSeekfreeInner=0.640575, SortExportsSeekfree=0.002459, BuildDependencyMap=0.007786, SerializeImportMap=0.007380, SerializeExportMap=0.004508, SerializeDependencyMap=0.001229, SerializeStringAssetReferenceMap=0.001229, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.902887, SerializeExports=0.261884, SerializeBulkData=0.058196, MoveFile=5.220912, UnaccountedTime=2.011888, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_13, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_86__DF58B95B70F8816F7A8EA901DA604FB4D647E182, StartTime=2016.06.13-17.03.16, HierarchicalDDC=, DataSize=83545, Duration=5.654931, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0D8EE9F34F3DC76FFC93D8A597DE784__45040CB24DEAC6D128D9393D274017B36F0039AF, StartTime=2016.06.13-17.03.16, HierarchicalDDC=, DataSize=23458, Duration=5.694274, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId6D1456914F53896EE65AA8A7E85FD39D_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_48E17CAE4BC010F7F7154F9B46EDB3C__CA45FC7E9B317DF926F1D24BC7BD41106F414AA8, StartTime=2016.06.13-17.03.16, HierarchicalDDC=, DataSize=25722, Duration=5.173370, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionIdB50CC0E54FC2A4096C5A2690339D65D3_14, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_86__6964DDFD7972EFC7CBDBBF36A20B5D9ECA1232C4, StartTime=2016.06.13-17.03.16, HierarchicalDDC=, DataSize=83545, Duration=7.077474, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
DDCTransactionId9BB3456D462DD567C205F6B7FDCFDD25_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C53234D2493D1099FA5288B2459EB0C__450C5D7626356F2B970DCBFCCCC394D8115042B2, StartTime=2016.06.13-17.03.16, HierarchicalDDC=, DataSize=2652, Duration=5.784027, RunGuid=RunID7F7A934C43BB608D79E3D18454EE434D
